ABACATE,Fruta verde muito usada em vitaminas
ABACAXI,Fruta tropical com casca espinhosa
ABELHA,Inseto que produz mel
ABISMO,Grande profundidade ou buraco muito fundo
ACEROLA,Fruta pequena rica em vitamina C
ACORDEAO,Instrumento musical muito usado no forro
ACUCAR,Ingrediente doce usado em receitas
ADAGA,Arma branca curta e pontiaguda
AEROPORTO,Lugar onde pousam e decolam avioes
AGULHA,Objeto fino usado para costurar
ALFACE,Vegetal muito usado em saladas
ALICATE,Ferramenta usada para apertar ou cortar
ALMOFADA,Objeto macio usado para apoiar a cabeca
ALPINISTA,Pessoa que escala montanhas
AMENDOIM,Semente muito consumida torrada
AMPULHETA,Objeto que mede o tempo com areia
ANCORA,Objeto usado para fixar barcos
ANEL,Objeto circular usado no dedo
ANIVERSARIO,Data em que se comemora o nascimento
ANTENA,Objeto que capta sinais
APITO,Objeto que emite som agudo
AQUARELA,Tecnica de pintura com tinta diluida em agua
ARANHA,Aracnideo que produz teias
AREIA,Material encontrado em praias e desertos
ARMARIO,Movel usado para guardar roupas
ARQUEIRO,Pessoa que usa arco e flecha
ARVORE,Planta de grande porte com tronco
ASA,Parte do corpo usada para voar
ASSENTO,Lugar onde se senta
ASTRONAUTA,Pessoa que viaja ao espaco
ATLETA,Pessoa que pratica esportes
AVENTAL,Roupa usada para proteger durante tarefas
AVIAO,Meio de transporte aereo
BACIA,Recipiente usado para lavar objetos
BALA,Doce pequeno geralmente embrulhado
BALAO,Objeto inflavel que flutua
BANANA,Fruta amarela muito popular
BANCO,Local para guardar dinheiro ou sentar
BANDEIRA,Simbolo de um pais ou grupo
BARCO,Meio de transporte na agua
BARRACA,Abrigo usado em acampamentos
BATERIA,Instrumento musical de percussao
BEBIDA,Liquido para consumo
BICICLETA,Meio de transporte com duas rodas
BISCOITO,Alimento crocante doce ou salgado
BOLA,Objeto usado em varios esportes
BONECO,Brinquedo em forma de pessoa
BORBOLETA,Inseto com asas coloridas
BORRACHA,Objeto usado para apagar
BOTAO,Pequena peca usada em roupas
BRINQUEDO,Objeto usado para diversao
BUZINA,Dispositivo que emite som alto
CACHORRO,Animal domestico muito comum
CADEADO,Dispositivo usado para trancar
CADEIRA,Movel usado para sentar
CAFETEIRA,Objeto usado para fazer cafe
CAIXA,Recipiente para guardar coisas
